author,book,original,adapted
Грин,Алые паруса,"В течение года, пока «Ансельм» посещал Францию, Америку и Испанию, Грэй промотал часть своего имущества на пирожном, отдавая этим дань прошлому, а остальную часть - для настоящего и будущего - проиграл в карты.","В течение года, пока «Ансельм» посещал Францию, Америку и Испанию, Грэй истратил часть своих денег на пирожные, а остальную часть проиграл в карты."
Грин,Алые паруса,Он хотел быть дьявольским моряком.,Он хотел быть сильным моряком.
Грин,Алые паруса,"Он, задыхаясь, пил водку, а на купаньи, с замирающим сердцем, прыгал в воду головой вниз с двухсаженной высоты.","Он, задыхаясь, пил водку, прыгал в воду головой вниз с четырехметровой высоты."
Грин,Алые паруса,"Понемногу он потерял все, кроме главного - своей странной летящей души; он потерял слабость, став широк костью и крепок мускулами, бледность заменил темным загаром, изысканную беспечность движений отдал за уверенную меткость работающей руки, а в его думающих глазах отразился блеск, как у человека, смотрящего на огонь.","Постепенно у него окрепли мускулы, бледность заменил темный загар, руки стали сильными, а в глазах отразился блеск, как у человека, смотрящего на огонь."
Грин,Алые паруса,"И его речь, утратив неравномерную, надменно застенчивую текучесть, стала краткой и точной, как удар чайки в струю за трепетным серебром рыб.",Его речь стала краткой и точной.
Грин,Алые паруса,"Капитан «Ансельма» был добрый человек, но суровый моряк, взявший мальчика из некоего злорадства.","Капитан «Ансельма» был добрый человек, но суровый моряк."
Грин,Алые паруса,"В отчаянном желании Грэя он видел лишь эксцентрическую прихоть и заранее торжествовал, представляя, как месяца через два Грэй скажет ему, избегал смотреть в глаза: - «Капитан Гоп, я ободрал локти, ползая по снастям; у меня болят бока и спина, пальцы не разгибаются, голова трещит, а ноги трясутся. Все эти мокрые канаты в два пуда на весу рук; все эти леера, ванты, брашпили, тросы, стеньги и саллинги созданы на мучение моему нежному телу. Я хочу к маме».","Когда он брал мальчика на шхуну, он представлял себе, как месяца через два Грэй скажет ему: - «Капитан Гоп, у меня болят бока и спина, пальцы ничего не чувствуют, а ноги трясутся. Я хочу к маме»."
Грин,Алые паруса,"Между тем внушительный диалог приходил на ум капитану все реже и реже, так как Грэй шел к цели с стиснутыми зубами и побледневшим лицом.","Но такая мысль приходила на ум капитану все реже и реже, так как Грэй шел к цели очень решительно. "
Грин,Алые паруса,"Грею шел уже двенадцатый год, когда все намеки его души, все разрозненные черты духа и оттенки тайных порывов соединились в одном сильном моменте и тем получив стройное выражение стали неукротимым желанием. Это случилось в библиотеке.","Грею шел уже двенадцатый год, когда он впервые попал в домашнюю библиотеку."
Грин,Алые паруса,"Этот юнга был Грэй, обладатель изящного саквояжа, тонких, как перчатка, лакированных сапожков и батистового белья с вытканными коронами.",Этот юнга был Грэй.
Тургенев,Ася,"Мне было тогда лет двадцать пять, - начал Н. Н., - дела давно минувших дней, как видите.","Мне было тогда лет двадцать пять, - начал Н. Н., - давно это было."
Тургенев,Ася,"Я только что вырвался на волю и уехал за границу, не для того, чтобы «окончить мое воспитание», 
как говаривалось тогда, а просто мне захотелось посмотреть на мир божий.","Я уехал за границу, я хотел посмотреть на мир."
Тургенев,Ася,"Я был здоров, молод, весел, деньги у меня не переводились, заботы еще не успели завестись - я жил без оглядки, 
делал что хотел, процветал, одним словом.","Я был здоров, молод, весел, деньги у меня были - я делал, что хотел."
Тургенев,Ася,"Я путешествовал без всякой цели, без плана; останавливался везде, где мне нравилось, и отправлялся тотчас далее, как только чувствовал желание видеть новые лица - именно лица.","Я путешествовал без цели, без плана; останавливался везде, где мне нравилось, и уезжал, как только чувствовал желание видеть новые лица - именно лица. "
Тургенев,Ася,"Меня занимали исключительно одни люди; я ненавидел любопытные памятники, замечательные собрания, один вид лон-лакея возбуждал во мне ощущение тоски и злобы.",Меня интересовали только люди; я ненавидел памятники.
Тургенев,Ася,"Итак, лет двадцать тому назад я проживал в немецком небольшом городке З., на левом берегу Рейна.","Итак, лет двадцать назад я жил в немецком небольшом городке З., на левом берегу Рейна."
Тургенев,Ася,"Городок этот мне понравился своим местоположением у подошвы двух высоких холмов, своими дряхлыми стенами и башнями, вековыми липами, крутым мостом над светлой речкой, впадавшей в Рейн, - а главное, своим хорошим вином.","Городок этот мне понравился своими древними стенами и башнями, старыми липами, мостом над речкой, которая впадала в Рейн, - а главное, своим хорошим вином."
Тургенев,Ася,"По его узким улицам гуляли вечером, тотчас после захождения солнца (дело было в июне), прехорошенькие белокурые немочки и, встретясь с иностранцем, произносили приятным голоском: «Guten Abend!».","По его узким улицам гуляли вечером очень хорошенькие немки и, встретясь с иностранцем, они говорили приятным голосом: «Guten Abend!»."
Тургенев,Ася,Городок З. лежит в двух верстах от Рейна.,Городок З. находится недалеко от Рейна.
Тургенев,Ася,"Я часто ходил смотреть на величавую реку и, не без некоторого напряжения мечтая о коварной вдове, просиживал долгие часы на каменной скамье под одиноким огромным ясенем.",Я часто ходил смотреть на эту реку и долгие часы сидел на каменной скамье под одиноким огромным деревом.
Тургенев,Ася,"Маленькая статуя мадонны с почти детским лицом и красным сердцем на груди, пронзенным мечами, печально выглядывала из его ветвей.",Маленькая статуя мадонны с почти детским лицом и красным сердцем на груди печально смотрела из его ветвей.
Тургенев,Ася,"На противоположном берегу находился городок Л., немного побольше того, в котором я поселился.","На другом берегу находился городок Л., он был немного побольше города З."
Тургенев,Ася,"Однажды вечером сидел я на своей любимой скамье и глядел то на реку, то на небо, то на виноградники.","Однажды вечером сидел я на своей любимой скамье и глядел то на реку, то на небо, то на виноградники."
Тургенев,Ася,Внезапно послышались звуки музыки.,Вдруг я услышал звуки музыки.
Тургенев,Ася,В городе Л. играли вальс.,В городе Л. играли вальс.
Гончаров,Обломов,"В Гороховой улице, в одном из больших домов, народонаселения которого стало бы на целый уездный город, лежал утром в постели, на своей квартире, Илья Ильич Обломов.","На Гороховой улице, в одном из больших домов лежал утром в постели Илья Ильич Обломов."
Гончаров,Обломов,"Это был человек лет тридцати двух-трех от роду, среднего роста, приятной наружности, с темно-серыми глазами, но с отсутствием всякой определенной идеи, всякой сосредоточенности в 
чертах лица.","Это был человек лет тридцати двух-трех, среднего роста, приятной внешности, с темно-серыми глазами. "
Гончаров,Обломов,"Но ни усталость, ни скука не могли ни на минуту согнать с лица мягкость, которая была господствующим и основным выражением, не лица только, а всей души; а душа так открыто и ясно светилась в глазах, в улыбке, в каждом движении головы, руки.","Его лицо выражало мягкость, а душа так открыто и ясно светилась в глазах, в улыбке, в каждом движении головы, руки."
Гончаров,Обломов,"На нем был халат из персидской материи, настоящий восточный халат, без малейшего намека на Европу, без кистей, без бархата, без талии, весьма поместительный, так что и Обломов мог дважды завернуться в него. ","На нем был широкий халат из персидской материи, настоящий восточный 
халат."
Гончаров,Обломов,"Лежанье у Ильи Ильича не было ни необходимостью, как у больного или как у человека, который хочет спать, ни случайностью, как у того, кто устал, ни наслаждением, как у лентяя: это было 
его нормальным состоянием.",Лежание у Ильи Ильича было его нормальным состоянием.
Гончаров,Обломов,"Когда он был дома - а он был почти всегда дома, - он все лежал, и все постоянно в одной комнате, где мы его нашли, служившей ему спальней, кабинетом и приемной.","Когда он был дома - а он был почти всегда дома, - он все лежал, и все постоянно в одной комнате."
Гончаров,Обломов,"У него было еще три комнаты, но он редко туда заглядывал, утром разве, и то не всякий день, когда человек мел кабинет его, чего всякий день не делалось.","У него было еще три комнаты, но он редко туда заглядывал."
Гончаров,Обломов,"В тех комнатах мебель закрыта была чехлами, шторы спущены.","В тех комнатах мебель закрыта была чехлами, шторы спущены."
Гончаров,Обломов,"На этажерках, правда, лежали две-три развернутые книги, валялась газета, на бюро стояла и чернильница с перьями; но страницы, на которых развернуты были книги, покрылись пылью и 
пожелтели; видно, что их бросили давно; номер газеты был прошлогодний, а из чернильницы, если обмакнуть в нее перо, вырвалась бы разве только с жужжаньем испуганная муха.","На этажерках лежали две-три открытые книги, газета, на бюро стояла и чернильница с перьями; но 
страницы книг были в пыли и пожелтели; видно было, что их не открывали давно; номер газеты был прошлогодний, а в чернильнице давно не было чернил."
Гончаров,Обломов,"Илья Ильич проснулся, против обыкновения, очень рано, часов в восемь. ","Илья Ильич проснулся непривычно очень рано, часов в восемь."
Гончаров,Обломов,Он чем-то сильно озабочен.,Он чем-то сильно озабочен.
Гончаров,Обломов,"На лице у него попеременно выступал не то страх, не то тоска и досада.","На лице у него виден был не то страх, не то тоска и досада."
Гончаров,Обломов,"Дело в том, что Обломов накануне получил из деревни, от своего старосты, письмо неприятного содержания.","Дело в том, что Обломов накануне получил из деревни, от своего старосты, 
письмо неприятного содержания."
Гончаров,Обломов,"Известно, о каких неприятностях может писать староста: неурожай, недоимки, уменьшение дохода и т. п.","Известно, о каких неприятностях может писать староста: неурожай, уменьшение дохода и т.п."
Куприн,Слон,Маленькая девочка нездорова,Маленькая девочка нездорова.
Куприн,Слон,"Каждый день к ней ходит доктор Михаил Петрович, которого она знает уже давно-давно. ","Каждый день к ней ходит доктор Михаил Петрович, она знает его уже давно-давно."
Куприн,Слон,"А иногда он приводит с собою еще двух докторов, незнакомых. ",А иногда он приходит вместе с еще двумя докторами.
Куприн,Слон,"Они переворачивают девочку на спину и на живот, слушают что-то, приложив ухо к телу, оттягивают вниз глазные веки и смотрят.","Они переворачивают девочку на спину и на живот, слушают что-то, приложив ухо к телу."
Куприн,Слон,"При этом они как-то важно посапывают, лица у них строгие, и говорят они между собою на непонятном языке.","При этом лица у них строгие, и говорят они между собой на непонятном языке."
Куприн,Слон,"Потом переходят из детской в гостиную, где их дожидается мама.","Потом они переходят из детской комнаты в гостиную, где их ждет мама."
Куприн,Слон,"Самый главный доктор - высокий, седой, в золотых очках - рассказывает ей о чем-то серьезно и долго. ","Самый главный доктор - высокий, седой, в золотых очках - рассказывает ей о чем-то серьезно и долго."
Куприн,Слон,"Дверь не закрыта, и девочке с ее кровати все видно и слышно.","Дверь не закрыта, и девочка с кровати все видит и слышит."
Куприн,Слон,"Многого она не понимает, но знает, что речь идет о ней.","Многого она не понимает, но знает, что говорят о ней."
Куприн,Слон,"Мама глядит на доктора большими, усталыми, заплаканными глазами. ","Мама глядит на доктора большими, усталыми, заплаканными глазами."
Куприн,Слон,"Прощаясь, главный доктор говорит громко: - Главное, - не давайте ей скучать.","Прощаясь, главный доктор говорит громко: - Главное, чтобы она не скучала."
Куприн,Слон,Исполняйте все ее капризы.,Исполняйте все ее желания.
Куприн,Слон,"Ах, доктор, но она ничего не хочет!","Ах, доктор, но она ничего не хочет!"
Куприн,Слон,"Ну, не знаю... вспомните, что ей нравилось раньше, до болезни.","Ну, не знаю… вспомните, что ей нравилось раньше, до болезни."
Куприн,Слон,Игрушки... какие-нибудь лакомства...,"Игрушки,.. какие-нибудь сладости…"
Куприн,Слон,"Нет, нет, доктор, она ничего не хочет...","Нет, нет, доктор, она ничего не хочет…"
Куприн,Слон,"Ну, постарайтесь ее как-нибудь развлечь... Ну, хоть чем-нибудь...","Ну, постарайтесь ее как-нибудь развеселить …"
Куприн,Слон,"Даю вам честное слово, что если вам удастся ее рассмешить, развеселить, - это будет лучшим лекарством.","Даю вам честное слово, что если у вас получится ее рассмешить, развеселить, то это будет лучшим лекарством."
Куприн,Слон,"Поймите же, что ваша дочка больна равнодушием к жизни, и больше ничем... До свидания, сударыня!","Поймите же, что ваша дочка больна равнодушием к жизни, и больше ничем… До свидания!"
Куприн,Слон,"Милая Надя, милая моя девочка, - говорит мама, - не хочется ли тебе чего-нибудь?","Дорогая Надя, дорогая моя девочка, - говорит мама, - не хочется ли тебе чего-нибудь?"
Куприн,Слон,"Нет, мама, ничего не хочется.","Нет, мама, ничего не хочется."
Куприн,Слон,"Хочешь, я посажу к тебе на постельку всех твоих кукол.","Хочешь, я посажу к тебе на кроватку всех твоих кукол?"
Куприн,Слон,Куклы будут пить чай и разговаривать о погоде и о здоровье своих детей,Куклы будут пить чай и разговаривать о погоде и о здоровье своих детей.
Куприн,Слон,"Спасибо, мама... Мне не хочется... Мне скучно...","Спасибо, мама… Мне не хочется… Мне скучно… "
Куприн,Слон,"Ну, хорошо, моя девочка, не надо кукол.","Ну, хорошо, моя девочка, не надо кукол."
Куприн,Слон,"А может быть, позвать к тебе Катю или Женечку?","А может быть, позвать к тебе Катю или Женечку?"
Куприн,Слон,Ты ведь их так любишь.,Ты ведь их так любишь.
Куприн,Слон,"Не надо, мама.","Не надо, мама."
Куприн,Слон,"Правда же, не надо.","Правда же, не надо."
Куприн,Слон,"Я ничего, ничего не хочу.","Я ничего, ничего не хочу."
Куприн,Слон,Мне так скучно!,Мне так скучно!
Куприн,Слон,"Хочешь, я тебе принесу шоколаду?","Хочешь, я тебе принесу шоколад? "
Куприн,Слон,"Но девочка не отвечает и смотрит в потолок неподвижными, невеселыми глазами.",Но девочка не отвечает и смотрит в потолок грустными глазами.
Куприн,Слон,У нее ничего не болит и даже нет жару.,У нее ничего не болит и даже нет жару. 
Куприн,Слон,Но она худеет и слабеет с каждым днем. ,Но она худеет и слабеет с каждым днем.
Куприн,Слон,"Что бы с ней ни делали, ей все равно, и ничего ей не нужно.",Ей ничего не интересно и ничего не нужно.
Куприн,Слон,"Так лежит она целые дни и целые ночи, тихая, печальная. ","Так лежит она все дни и все ночи, тихая, печальная. "
Куприн,Слон,"Иногда она задремлет на полчаса, но и во сне ей видится что-то серое, длинное, скучное, как осенний дождик.","Иногда она засыпает на полчаса, но и во сне видит что-то серое, длинное, скучное, как осенний дождик. "
Куприн,Слон,"Когда из детской отворена дверь в гостиную, а из гостиной дальше в кабинет, то девочка видит папу.","Когда из детской комнаты открыта дверь в гостиную, а из гостиной дальше - в кабинет, то девочка видит папу."
Куприн,Слон,"Папа ходит быстро из угла в угол и все курит, курит. ","Папа быстро ходит по кабинету и все время курит, курит. "
Куприн,Слон,"Иногда он приходит в детскую, садится на край постельки и тихо поглаживает Надины ноги.","Иногда он приходит в детскую, садится около Нади и гладит ее ноги."
Куприн,Слон,"Потом вдруг встает и отходит к окну, что-то насвистывает, глядя на улицу, но плечи у него трясутся.","Потом вдруг встает, отходит к окну и плачет."
Куприн,Слон,"Затем он торопливо прикладывает платок к одному глазу, к другому и, точно рассердясь, уходит к себе в кабинет. Потом он опять бегает из угла в угол и все... курит, курит, курит...","Затем он уходит к себе в кабинет и опять быстро ходит и все… курит, курит, курит…"
Куприн,Слон,"Но однажды утром девочка просыпается немного бодрее, чем всегда.",Но однажды утром девочка просыпается и чувствует себя немного лучше.
Куприн,Слон,"Она что-то видела во сне, но никак не может вспомнить, что именно, и смотрит долго и внимательно в глаза матери.","Она что-то видела во сне, но никак не может вспомнить, что именно, и смотрит долго и внимательно в глаза матери."
Распутин,Уроки французского,Я пошел в пятый класс в сорок восьмом году.,Я пошел в пятый класс в тысяча девятьсот сорок восьмом году.
Распутин,Уроки французского,"Правильней сказать, поехал: у нас в деревне была только начальная школа.","Правильнее сказать, поехал: у нас в деревне была школа, в которой учились только до пятого класса. "
Распутин,Уроки французского,"Поэтому, чтобы учиться дальше, мне пришлось снаряжаться из дому за пятьдесят километров в райцентр.","Поэтому, чтобы продолжать учиться, я поехал в райцентр, который находился в пятидесяти километрах от дома."
Распутин,Уроки французского,"За неделю раньше туда съездила мать, уговорилась со своей знакомой, что я буду квартировать у нее. ","За неделю до этого туда съездила мать, она договорилась со своей знакомой, что я буду жить у нее."
Распутин,Уроки французского,"В последний день августа дядя Ваня, шофер единственной в колхозе полуторки, выгрузил меня на улице Подкаменной, где мне предстояло жить, помог занести в дом узел с постелью, ободряюще похлопал на прощанье по плечу и укатил.","В последний день августа шофер дядя Ваня довез меня до дома этой женщины, помог принести в дом вещи и уехал."
Распутин,Уроки французского,"Так, в одиннадцать лет, началась моя самостоятельная жизнь.","Так, в одиннадцать лет, началась моя самостоятельная жизнь."
Распутин,Уроки французского,"Голод в тот год еще не отпустил, а нас у матери было трое, я самый старший.","У моей матери было трое детей, я самый старший."
Распутин,Уроки французского,"Жили мы без отца, жили совсем плохо, и она, видно, рассудила, что хуже уже не будет - некуда.","Жили мы без отца, жили очень бедно."
Распутин,Уроки французского,"Учился я хорошо, в школу ходил с удовольствием и в деревне признавался за грамотея: писал за старух и читал письма.","В школу я ходил с удовольствием, учился хорошо и в деревне помогал людям: помогал писать письма старухам и читал им письма."
Распутин,Уроки французского,"Я перебрал все книжки, которые оказались в нашей неказистой библиотеке, и по вечерам рассказывал из них ребятам всякие истории, больше того добавляя от себя","Я прочитал все книжки, которые были в нашей маленькой библиотеке, и по вечерам рассказывал ребятам разные истории из книжек."
Распутин,Уроки французского,В деревне матери говорили: - Башковитый у тебя парень растет.,В деревне матери говорили: - Умный у тебя сын растет.
Распутин,Уроки французского,Ты это… давай учи его. Грамота зря не пропадет.,Ты учи его.
Распутин,Уроки французского,"И мать, наперекор всем несчастьям, собрала меня, хотя до того никто из нашей деревни в районе не учился.","И мать решила отправить меня учиться в райцентр, хотя до этого никто из нашей деревни там не учился."
Распутин,Уроки французского,"Я был первый. Да я и не понимал, как следует, что мне предстоит, какие испытания ждут меня, голубчика, на новом месте.","Я был первый и не понимал, какие испытания ждут меня на новом месте."
Распутин,Уроки французского,Учился я и тут хорошо.,Учился я и тут хорошо.
Распутин,Уроки французского,"Что мне оставалось? - затем я сюда и приехал, другого дела у меня здесь не было, а относиться спустя рукава к тому, что на меня возлагалось, я тогда еще не умел","Я для этого сюда и приехал, другого дела у меня здесь небыло."
